listing_id,seller_id,material_type,quantity_kg,price_per_kg,latitude,longitude,industry,quality_grade,available_monthly,created_at
L0103,C071,Construction_Debris,3329,2.73,23.108847,80.869042,Energy,C,True,2026-02-14T22:27:27.174643
L0104,C112,Textile,3212,11.28,22.562259,88.679106,Food_Processing,A,True,2026-01-31T22:27:27.174685
L0105,C065,Paper,1354,4.57,26.065209,88.241612,Textile,A,True,2026-02-24T22:27:27.174728
L0106,C043,Metal_Scrap,1563,20.69,12.493286,81.993258,Construction,C,True,2026-01-30T22:27:27.174769
L0107,C494,Construction_Debris,236,1.13,14.35287,77.283115,Manufacturing,B,False,2026-02-11T22:27:27.174812
L0108,C074,Paper,642,6.85,21.625876,79.54498,Textile,C,False,2026-02-16T22:27:27.174854
L0109,C187,Construction_Debris,4072,2.19,24.580574,76.532191,Chemical,C,False,2026-02-25T22:27:27.174896
L0110,C340,Metal_Scrap,3176,32.06,20.552325,75.681478,Energy,C,True,2026-02-25T22:27:27.174939
L0111,C176,Organic,2204,2.15,14.949355,78.221982,Food_Processing,A,True,2026-02-25T22:27:27.174981
L0112,C423,Metal_Scrap,3740,30.25,23.02995,79.700742,Energy,C,True,2026-02-13T22:27:27.175022
L0113,C308,Wood,3108,4.89,29.433247,77.484023,Construction,A,False,2026-02-21T22:27:27.175065
L0114,C492,Wood,310,2.36,13.417674,78.093033,Chemical,A,False,2026-02-13T22:27:27.175107
L0115,C265,Organic,1681,1.9,23.886844,76.888287,Manufacturing,C,True,2026-02-16T22:27:27.175149
L0116,C411,Plastic,1633,9.88,21.437761,81.767186,Construction,C,True,2026-02-10T22:27:27.175193
L0117,C078,Plastic,808,13.42,27.162133,75.674492,Pharmaceutical,C,True,2026-02-12T22:27:27.175235
L0118,C150,Construction_Debris,4971,1.48,11.601509,80.237392,Pharmaceutical,B,True,2026-02-22T22:27:27.175277
L0119,C370,Metal_Scrap,2310,15.92,27.421153,77.214448,Manufacturing,B,True,2026-02-26T22:27:27.175372
L0120,C214,Plastic,2226,10.75,20.075682,77.719731,Textile,C,True,2026-02-21T22:27:27.175421
L0121,C191,Organic,3003,0.56,12.117217,76.464191,Manufacturing,C,True,2026-02-18T22:27:27.175465
L0122,C157,Construction_Debris,140,4.7,23.841319,78.702051,Construction,C,False,2026-02-04T22:27:27.175509
L0123,C092,Metal_Scrap,677,36.08,27.467837,75.572034,Construction,A,True,2026-01-30T22:27:27.175552
L0124,C148,Wood,3513,3.03,24.278301,81.759343,Automotive,A,True,2026-02-22T22:27:27.175594
L0125,C395,Metal_Scrap,3161,29.24,29.699718,79.614111,Pharmaceutical,A,False,2026-02-09T22:27:27.175636
L0126,C251,E_Waste,4268,40.99,11.792823,79.552668,Textile,B,True,2026-02-11T22:27:27.175678
L0127,C314,Organic,4005,1.23,22.046782,78.781789,Manufacturing,C,True,2026-01-29T22:27:27.175720
L0128,C098,Wood,4513,3.18,20.705103,75.062876,Automotive,A,False,2026-02-25T22:27:27.175763
L0129,C199,Construction_Debris,2845,1.48,30.140961,78.738304,Energy,A,False,2026-02-03T22:27:27.175805
L0130,C099,Plastic,2460,19.49,31.728137,74.458637,Food_Processing,A,True,2026-02-09T22:27:27.175849
L0131,C182,Plastic,4041,19.04,23.006233,79.536899,Electronics,B,True,2026-02-11T22:27:27.175891
L0132,C157,Metal_Scrap,669,36.32,22.88901,80.346409,Construction,C,False,2026-02-09T22:27:27.175933
L0133,C272,E_Waste,3555,45.44,22.550129,77.175131,Textile,A,True,2026-02-24T22:27:27.175975
L0134,C007,Organic,4506,2.52,21.502633,79.33321,Chemical,C,True,2026-02-16T22:27:27.176017
L0135,C419,Metal_Scrap,1323,38.86,31.175546,75.06893,Electronics,C,False,2026-02-16T22:27:27.176059
L0136,C441,Plastic,4253,13.97,30.281187,79.325413,Steel,B,True,2026-01-31T22:27:27.176101
L0137,C457,Organic,3031,1.96,30.515526,74.499456,Automotive,A,True,2026-02-02T22:27:27.176142
L0138,C095,Plastic,1629,16.9,27.254262,75.532374,Construction,B,True,2026-02-10T22:27:27.176184
L0139,C312,Paper,109,3.28,15.321592,81.115039,Energy,A,True,2026-02-14T22:27:27.176226
L0140,C082,Organic,2770,2.27,17.58003,80.195574,Pharmaceutical,A,True,2026-02-19T22:27:27.176268
L0141,C361,Organic,2578,1.52,28.757891,78.878991,Steel,B,True,2026-02-13T22:27:27.176317
L0142,C385,Metal_Scrap,2033,25.15,23.210271,88.73969,Automotive,C,True,2026-02-16T22:27:27.176365
L0143,C091,Metal_Scrap,4437,25.85,21.599865,77.862577,Electronics,B,False,2026-02-02T22:27:27.176408
L0144,C402,E_Waste,440,58.08,20.038726,79.472911,Chemical,C,False,2026-02-03T22:27:27.176450
L0145,C309,Metal_Scrap,892,22.24,22.031419,78.785493,Construction,C,True,2026-02-05T22:27:27.176492
L0146,C001,E_Waste,2008,61.31,13.140754,78.915462,Steel,A,True,2026-02-18T22:27:27.176534
L0147,C372,Glass,2157,4.59,24.54826,81.813385,Electronics,A,True,2026-02-12T22:27:27.176576
L0148,C362,Glass,1538,4.22,31.203204,76.52289,Food_Processing,B,True,2026-02-01T22:27:27.176618
L0149,C097,Metal_Scrap,2560,30.32,20.910324,80.380757,Manufacturing,C,True,2026-02-08T22:27:27.176659
L0150,C280,Wood,501,3.7,28.639287,77.68915,Steel,B,True,2026-02-19T22:27:27.176702
L0151,C444,Textile,3664,7.8,22.857721,76.529025,Manufacturing,A,False,2026-02-04T22:27:27.176744
L0152,C467,Plastic,1969,15.47,24.386641,84.639585,Automotive,C,False,2026-02-13T22:27:27.176786
L0153,C101,Metal_Scrap,1031,17.81,22.316598,84.981794,Steel,A,True,2026-02-26T22:27:27.176828
L0154,C282,Plastic,3176,11.89,12.218562,81.856778,Food_Processing,A,True,2026-02-27T22:27:27.176870
L0155,C465,Plastic,4382,15.65,27.914286,78.416111,Chemical,A,True,2026-02-17T22:27:27.176912
L0156,C353,Metal_Scrap,883,29.81,23.149232,78.105043,Food_Processing,B,True,2026-02-12T22:27:27.176954
L0157,C013,Metal_Scrap,1872,36.19,22.608067,80.085647,Textile,A,True,2026-02-20T22:27:27.176996
L0158,C041,Metal_Scrap,732,18.05,14.847701,81.139294,Food_Processing,B,False,2026-02-13T22:27:27.177038
L0159,C094,Metal_Scrap,4102,36.94,24.242731,75.379636,Energy,C,True,2026-01-31T22:27:27.177080
L0160,C163,E_Waste,2090,42.63,29.399811,75.649557,Steel,A,True,2026-02-14T22:27:27.177122
L0161,C483,Organic,682,2.61,31.166353,74.860722,Automotive,B,True,2026-02-14T22:27:27.177164
L0162,C003,Metal_Scrap,3061,18.52,28.431662,78.028242,Electronics,C,False,2026-01-30T22:27:27.177206
L0163,C275,Organic,1433,1.82,22.281216,77.373163,Manufacturing,A,True,2026-02-14T22:27:27.177247
L0164,C302,Organic,1398,0.81,20.895685,79.675587,Construction,B,False,2026-02-05T22:27:27.177290
L0165,C289,Metal_Scrap,4049,36.05,30.415645,74.739113,Textile,C,True,2026-02-08T22:27:27.177616
L0166,C349,Wood,3765,5.29,20.589888,82.663046,Chemical,C,False,2026-02-12T22:27:27.177697
L0167,C465,Organic,3605,0.41,21.698746,75.53649,Electronics,A,True,2026-02-11T22:27:27.177756
L0168,C304,Organic,1477,2.16,29.37827,77.216201,Steel,B,True,2026-02-12T22:27:27.177916
L0169,C339,Metal_Scrap,1437,36.79,30.226153,78.616605,Energy,B,True,2026-01-31T22:27:27.178015
L0170,C227,Wood,3076,4.57,31.128783,78.645071,Steel,A,False,2026-02-26T22:27:27.178066
L0171,C048,Metal_Scrap,1562,32.72,17.231146,76.021875,Chemical,C,True,2026-02-08T22:27:27.178111
L0172,C403,Metal_Scrap,3854,27.75,23.096311,75.57393,Automotive,A,True,2026-02-14T22:27:27.178155
L0173,C430,Construction_Debris,1504,2.42,21.671723,82.80113,Chemical,B,True,2026-02-21T22:27:27.178199
L0174,C146,Textile,4188,6.42,20.86204,75.922146,Construction,A,True,2026-02-21T22:27:27.178244
L0175,C126,Construction_Debris,3887,2.51,24.351828,79.925064,Pharmaceutical,A,True,2026-02-17T22:27:27.178346
L0176,C373,Construction_Debris,236,4.46,22.131501,79.792143,Textile,A,True,2026-02-03T22:27:27.178441
L0177,C355,Paper,2113,4.48,29.698605,74.718578,Food_Processing,A,True,2026-02-06T22:27:27.178721
L0178,C179,Metal_Scrap,2318,23.21,20.176954,79.216663,Construction,A,True,2026-02-01T22:27:27.178916
L0179,C448,Plastic,2862,5.51,23.660747,80.192249,Energy,A,True,2026-01-31T22:27:27.179075
L0180,C067,Plastic,2375,6.57,25.376988,86.332509,Manufacturing,B,False,2026-01-29T22:27:27.179228
L0181,C282,Glass,1450,6.54,29.014127,77.68615,Food_Processing,A,True,2026-02-12T22:27:27.179379
L0182,C203,Glass,618,4.55,27.679722,79.057524,Pharmaceutical,C,True,2026-02-16T22:27:27.179529
L0183,C048,Construction_Debris,3882,3.96,17.014958,76.615653,Pharmaceutical,B,True,2026-02-11T22:27:27.179676
L0184,C355,Construction_Debris,4290,3.82,21.94771,75.625295,Food_Processing,B,True,2026-01-31T22:27:27.179820
L0185,C499,Plastic,1678,12.84,22.439945,77.995511,Energy,A,False,2026-02-02T22:27:27.179881
L0186,C354,Plastic,1563,14.84,27.211029,79.801596,Food_Processing,C,False,2026-02-13T22:27:27.179927
L0187,C337,Glass,4243,3.44,22.319296,82.950512,Energy,B,False,2026-02-19T22:27:27.179971
L0188,C332,Paper,1151,4.57,30.330816,77.89359,Textile,C,True,2026-02-27T22:27:27.180016
L0189,C488,Metal_Scrap,315,36.17,20.78677,80.183026,Food_Processing,C,True,2026-02-01T22:27:27.180060
L0190,C226,Plastic,477,15.96,15.949261,76.014673,Food_Processing,C,True,2026-02-01T22:27:27.180103
L0191,C421,Wood,2709,4.99,21.283084,82.883755,Energy,A,True,2026-02-06T22:27:27.180147
L0192,C261,Construction_Debris,977,1.19,24.867938,79.340405,Food_Processing,C,True,2026-02-26T22:27:27.180190
L0193,C287,Organic,1151,1.84,31.975914,77.62295,Textile,B,False,2026-01-31T22:27:27.180233
L0194,C315,Construction_Debris,4432,4.26,22.663052,77.426381,Construction,B,True,2026-02-24T22:27:27.180277
L0195,C488,Metal_Scrap,4218,34.74,20.526199,88.567753,Manufacturing,A,False,2026-02-22T22:27:27.180320
L0196,C056,Plastic,2390,8.69,21.746202,88.124997,Textile,A,True,2026-02-19T22:27:27.180363
L0197,C254,Glass,933,5.49,30.00371,75.672798,Food_Processing,C,False,2026-01-29T22:27:27.180406
L0198,C473,E_Waste,627,24.79,20.998306,83.761921,Electronics,C,False,2026-02-21T22:27:27.180450
L0199,C256,Metal_Scrap,2015,21.51,11.038974,81.469383,Textile,C,True,2026-01-31T22:27:27.180493
L0200,C209,Metal_Scrap,347,39.56,25.841557,87.311229,Automotive,A,True,2026-02-23T22:27:27.180536
L0201,C173,Glass,618,9.14,23.740196,81.601577,Food_Processing,B,True,2026-02-11T22:27:27.180579
L0202,C252,Metal_Scrap,3493,30.81,20.843842,79.482071,Electronics,C,True,2026-02-06T22:27:27.180624
L0203,C188,Construction_Debris,1634,3.9,31.425541,79.087262,Construction,A,True,2026-02-12T22:27:27.180668
L0204,C190,Construction_Debris,1431,1.34,16.648086,78.108881,Energy,C,True,2026-02-09T22:27:27.180711
L0205,C085,E_Waste,2790,74.74,31.78639,75.991899,Electronics,B,False,2026-02-10T22:27:27.180761
L0206,C415,Paper,2713,4.19,20.042081,75.813142,Automotive,B,True,2026-02-15T22:27:27.180805
L0207,C324,Paper,3431,7.79,15.833623,77.712546,Construction,C,True,2026-02-21T22:27:27.180849
L0208,C283,Organic,1705,1.45,28.132477,78.680298,Textile,C,True,2026-02-08T22:27:27.180892
L0209,C462,Plastic,3661,15.81,12.333201,79.545993,Textile,B,False,2026-02-06T22:27:27.180936
L0210,C496,Organic,4697,2.67,13.696688,80.151844,Electronics,A,True,2026-01-31T22:27:27.180978
L0211,C201,Textile,371,7.15,27.630506,78.154282,Food_Processing,C,True,2026-02-20T22:27:27.181022
L0212,C208,Paper,4147,4.8,31.541253,74.124329,Automotive,C,True,2026-02-13T22:27:27.181065
L0213,C263,Metal_Scrap,849,18.48,23.301166,76.420392,Electronics,C,True,2026-02-23T22:27:27.181108
L0214,C120,Construction_Debris,3320,3.14,13.046588,78.67801,Chemical,C,False,2026-02-27T22:27:27.181151
L0215,C287,Metal_Scrap,3724,22.66,22.275029,77.57382,Energy,C,False,2026-02-10T22:27:27.181195
L0216,C244,E_Waste,4915,58.7,12.839596,81.658239,Construction,C,True,2026-02-04T22:27:27.181238
L0217,C078,Glass,4596,4.12,21.94701,79.893829,Manufacturing,C,False,2026-02-04T22:27:27.181282
L0218,C393,Metal_Scrap,3926,36.27,16.722341,80.237414,Electronics,B,True,2026-02-03T22:27:27.181326
L0219,C075,Glass,858,4.64,20.461272,85.045492,Food_Processing,C,True,2026-01-31T22:27:27.181370
L0220,C180,Metal_Scrap,1677,39.95,24.465491,78.697676,Textile,A,True,2026-02-09T22:27:27.181415
L0221,C153,Plastic,407,11.53,30.466577,79.72816,Textile,A,False,2026-02-18T22:27:27.181459
L0222,C290,Construction_Debris,3908,4.84,24.493418,78.821496,Energy,B,True,2026-02-13T22:27:27.181548
L0223,C266,Paper,672,7.75,25.349864,87.223979,Textile,B,True,2026-02-02T22:27:27.181608
L0224,C106,Plastic,4948,5.06,21.041534,76.48173,Chemical,A,True,2026-02-21T22:27:27.181655
L0225,C064,E_Waste,2462,29.53,28.93139,74.172299,Energy,C,True,2026-02-25T22:27:27.181702
L0226,C455,Wood,637,2.84,20.975216,77.369073,Electronics,A,True,2026-02-27T22:27:27.181747
L0227,C445,Plastic,3612,6.43,17.347642,79.584352,Steel,B,True,2026-02-14T22:27:27.181792
L0228,C437,Metal_Scrap,3672,18.47,27.740503,79.708222,Pharmaceutical,B,False,2026-02-04T22:27:27.181837
L0229,C083,Metal_Scrap,4188,31.76,30.310208,79.22766,Steel,A,True,2026-01-30T22:27:27.181881
L0230,C177,Organic,2433,2.76,27.881147,76.103419,Automotive,B,True,2026-02-05T22:27:27.181925
L0231,C292,Plastic,2629,13.34,28.88182,78.897155,Manufacturing,C,False,2026-02-14T22:27:27.181969
L0232,C341,Construction_Debris,363,3.42,30.928407,77.544101,Construction,C,True,2026-02-06T22:27:27.182014
L0233,C145,E_Waste,3396,28.32,31.695469,76.448571,Pharmaceutical,B,True,2026-01-29T22:27:27.182059
L0234,C098,Metal_Scrap,397,30.63,24.853179,88.796967,Steel,C,True,2026-01-29T22:27:27.182104
L0235,C062,Organic,926,1.67,21.413249,75.626409,Automotive,C,True,2026-02-07T22:27:27.182151
L0236,C353,Construction_Debris,266,1.28,30.153774,77.858201,Chemical,A,True,2026-02-04T22:27:27.182195
L0237,C080,Construction_Debris,1951,4.02,24.718863,75.755647,Steel,B,True,2026-02-22T22:27:27.182239
L0238,C119,Paper,4280,5.74,15.74078,79.659037,Pharmaceutical,A,True,2026-02-16T22:27:27.182283
L0239,C414,Plastic,3670,16.85,20.536459,75.733067,Food_Processing,C,True,2026-02-22T22:27:27.182326
L0240,C327,Metal_Scrap,1305,34.52,26.929168,83.802366,Chemical,B,False,2026-02-09T22:27:27.182369
L0241,C070,Glass,4205,7.33,24.850603,75.319671,Chemical,C,True,2026-02-19T22:27:27.182412
L0242,C468,Plastic,217,14.08,23.389464,84.927157,Electronics,A,True,2026-02-10T22:27:27.182455
L0243,C281,Glass,633,4.27,29.153862,78.668847,Manufacturing,C,False,2026-02-11T22:27:27.182498
L0244,C122,Metal_Scrap,3700,38.0,28.60274,76.919328,Steel,C,True,2026-02-24T22:27:27.182543
L0245,C013,Metal_Scrap,3104,31.75,27.355914,74.80033,Manufacturing,B,True,2026-02-16T22:27:27.182588
L0246,C257,Textile,1680,7.75,20.095766,84.37231,Construction,A,False,2026-02-21T22:27:27.182632
L0247,C234,Plastic,3264,7.81,21.311131,86.069762,Chemical,B,False,2026-02-14T22:27:27.182676
L0248,C144,Construction_Debris,466,4.55,28.503091,76.15901,Automotive,A,False,2026-02-03T22:27:27.182722
L0249,C105,Plastic,1219,5.55,24.786763,80.249843,Food_Processing,C,True,2026-02-23T22:27:27.182768
L0250,C042,Glass,768,4.19,23.693022,78.981541,Manufacturing,A,True,2026-02-22T22:27:27.182812
