company_id,month_index,industry,company_size,employee_total,facility_area_sqm,operating_hours_per_day,operating_days_per_week,number_of_shifts,monthly_electricity_kwh,peak_demand_kw,power_factor,renewable_energy_percent,electricity_provider,diesel_liters_monthly,petrol_liters_monthly,natural_gas_kg_monthly,lpg_kg_monthly,coal_tons_monthly,furnace_oil_liters_monthly,biomass_tons_monthly,water_consumption_kl_monthly,water_recycling_percent,metal_scrap_kg_monthly,plastic_waste_kg_monthly,organic_waste_kg_monthly,paper_waste_kg_monthly,wood_waste_kg_monthly,production_volume_monthly,raw_material_consumption_tons,avg_temperature,scope1_kg,scope2_kg,scope3_kg,total_co2_kg,emission_intensity
C001,11,Steel,Large,2678,74746.5,13,7,3,128276.5,1924.15,0.949,20.42,MSEDCL,12685.28,86.32,9271.78,421.26,8.9152,235.15,0,1339.0,49.17,11516.0,4606.4,2303.2,2303.2,0,6162.2,308.11,25.982366636668296,84991.36,83706.38,61622.26,230319.99,86.0
C001,12,Steel,Large,3494,154904.2,11,7,2,110277.46,1654.16,0.917,15.25,MSEDCL,16688.68,102.3,12197.91,138.47,11.7288,470.26,0,1747.0,19.88,12162.5,4865.0,2432.5,2432.5,0,5479.4,273.97,27.7662702579122,111814.15,76640.97,54794.14,243249.27,69.62
C001,13,Steel,Large,2730,103279.7,14,6,1,125181.65,1877.72,0.917,6.27,Tata Power,16728.6,86.28,12227.09,137.24,11.7568,448.61,0,1365.0,45.02,12878.9,5151.5,2575.8,2575.8,0,4928.5,246.42,29.49652185909902,112081.64,96210.66,49284.92,257577.21,94.35
C001,14,Steel,Large,4441,182947.1,18,5,2,151608.07,2274.12,0.937,26.91,Adani Electricity,13461.02,51.38,9838.79,140.59,9.4604,331.75,0,2220.5,0.25,12192.9,4877.2,2438.6,2438.6,0,6280.9,314.04,22.41212077126248,90188.87,90860.37,62808.65,243857.88,54.91
C001,15,Steel,Large,3575,69676.6,23,7,3,118923.2,1783.85,0.935,6.73,Tata Power,16295.97,131.38,11910.87,303.53,11.4528,318.17,0,1787.5,12.52,12453.0,4981.2,2490.6,2490.6,0,4892.2,244.61,28.848062713408158,109182.99,90956.0,48921.7,249060.69,69.67
C001,16,Steel,Large,1782,63803.0,22,5,1,169001.68,2535.03,0.88,13.03,BESCOM,18298.63,92.12,13374.64,109.73,12.8602,322.74,0,891.0,8.86,15427.4,6170.9,3085.5,3085.5,0,6542.5,327.12,34.106878765293715,122600.85,120521.69,65424.92,308547.46,173.15
C001,17,Steel,Large,4645,126006.6,10,5,3,136831.34,2052.47,0.89,0.46,BESCOM,23887.93,177.67,17459.91,226.77,16.7884,84.75,0,2322.5,27.84,16569.2,6627.7,3313.8,3313.8,0,5965.3,298.26,34.04232161241171,160049.14,111681.42,59652.72,331383.28,71.34
C001,18,Steel,Large,4950,77236.6,17,6,2,159696.44,2395.45,0.946,18.45,Tata Power,21306.12,70.49,15572.83,383.56,14.9739,276.41,0,2475.0,14.83,17239.9,6896.0,3448.0,3448.0,0,9525.8,476.29,26.29671284669415,142750.99,106790.32,95257.65,344798.96,69.66
C001,19,Steel,Large,3158,56120.7,15,6,2,105418.89,1581.28,0.966,0.16,MSEDCL,17653.46,54.14,12903.08,331.55,12.4068,219.24,0,1579.0,33.6,14004.0,5601.6,2800.8,2800.8,0,7549.2,377.46,24.92229001212098,118278.2,86309.03,75491.93,280079.16,88.69
C001,20,Steel,Large,1288,14880.8,22,6,3,171469.15,2572.04,0.867,25.81,Tata Power,20130.35,174.18,14713.45,208.62,14.1476,482.63,0,644.0,22.86,13586.0,5434.4,2717.2,2717.2,0,3253.5,162.68,32.63034612517972,134873.32,104311.62,32535.38,271720.31,210.96
C002,1,Steel,Large,4849,187092.9,24,7,3,54142.03,812.13,0.907,3.98,MSEDCL,8918.24,87.63,6518.42,173.73,6.2677,40.44,0,2424.5,21.42,6791.5,2716.6,1358.3,1358.3,0,3345.0,167.25,30.327498511480496,59752.21,42628.44,33449.95,135830.59,28.01
C002,2,Steel,Large,514,8899.7,20,5,1,56032.53,840.49,0.974,7.19,MSEDCL,8930.74,148.57,6527.56,274.27,6.2765,365.02,0,257.0,2.39,6193.6,2477.5,1238.7,1238.7,0,2139.6,106.98,28.490558157411144,59835.95,42641.45,21395.6,123872.99,241.0
C002,3,Steel,Large,516,11587.6,12,6,2,50388.65,755.83,0.914,2.75,MSEDCL,5814.9,101.95,4250.16,285.87,4.0867,324.89,0,258.0,2.4,6011.7,2404.7,1202.3,1202.3,0,4109.4,205.47,34.23718597387079,38959.81,40180.79,41093.5,120234.11,233.01
C002,4,Steel,Large,2530,79885.0,20,7,2,75229.48,1128.44,0.853,28.0,BESCOM,7742.35,145.46,5658.96,420.38,5.4413,338.58,0,1265.0,28.67,7364.7,2945.9,1472.9,1472.9,0,5100.7,255.03,21.927505298508652,51873.76,44413.58,51006.5,147293.84,58.22
C002,5,Steel,Large,3274,59807.4,20,7,2,91187.24,1367.81,0.852,24.61,MSEDCL,10769.31,142.74,7871.39,234.62,7.5686,327.86,0,1637.0,19.27,7773.1,3109.2,1554.6,1554.6,0,2693.8,134.69,30.224205034591847,72154.37,56369.67,26938.21,155462.25,47.48
C002,6,Steel,Large,1774,84204.6,11,5,1,83195.21,1247.93,0.976,20.79,BESCOM,8124.06,76.62,5937.95,400.25,5.7096,403.42,0,887.0,49.53,7728.7,3091.5,1545.7,1545.7,0,4610.3,230.51,26.189265153671396,54431.23,54039.37,46102.59,154573.19,87.13
C002,7,Steel,Large,4299,116759.8,20,7,1,72058.77,1080.88,0.881,27.92,Adani Electricity,8662.72,185.38,6331.66,302.1,6.0881,413.23,0,2149.5,16.0,6374.1,2549.6,1274.8,1274.8,0,2685.2,134.26,33.432848427443005,58040.24,42589.16,26852.39,127481.78,29.65
C002,8,Steel,Large,1630,78244.0,22,5,1,62462.04,936.93,0.888,2.74,Tata Power,5752.81,133.06,4204.78,185.09,4.0431,473.1,0,815.0,39.06,6377.9,2551.2,1275.6,1275.6,0,3919.8,195.99,21.701969030261722,38543.82,49816.19,39197.78,127557.79,78.26
C002,9,Steel,Large,3698,117731.9,18,6,3,67709.58,1015.64,0.869,1.68,Adani Electricity,10090.28,175.54,7375.08,446.75,7.0914,419.24,0,1849.0,21.3,6830.9,2732.3,1366.2,1366.2,0,1442.1,72.1,23.338646263565458,67604.89,54591.23,14420.92,136617.04,36.94
C002,10,Steel,Large,1204,40035.7,20,5,2,65330.68,979.96,0.956,15.4,MSEDCL,10283.9,186.15,7516.6,336.76,7.2275,175.11,0,602.0,35.41,7201.6,2880.6,1440.3,1440.3,0,2980.9,149.04,27.22500481946173,68902.14,45321.31,29808.97,144032.43,119.63
C002,11,Steel,Large,2200,44324.0,15,5,3,66448.62,996.73,0.934,9.91,Tata Power,9946.16,152.16,7269.74,195.0,6.9901,200.11,0,1100.0,23.89,7555.2,3022.1,1511.0,1511.0,0,3537.5,176.88,21.243369825400315,66639.3,49089.44,35375.01,151103.75,68.68
C002,12,Steel,Large,2802,64186.7,23,6,1,101003.23,1515.05,0.979,29.34,Tata Power,8897.18,87.95,6503.03,378.16,6.2529,37.72,0,1401.0,8.31,7696.4,3078.6,1539.3,1539.3,0,3579.2,178.96,23.252136598797367,59611.1,58524.95,35791.54,153927.59,54.93
C002,13,Steel,Large,3698,172364.4,17,6,1,77519.28,1162.79,0.886,11.53,BESCOM,11333.62,147.03,8283.85,255.31,7.9652,114.7,0,1849.0,13.3,7606.2,3042.5,1521.2,1521.2,0,1995.0,99.75,25.405176428079024,75935.27,56239.18,19949.75,152124.21,41.14
C002,14,Steel,Large,2085,71122.0,23,5,1,57536.63,863.05,0.968,8.39,Tata Power,8310.44,191.08,6074.18,266.66,5.8406,290.58,0,1042.5,45.96,7126.6,2850.6,1425.3,1425.3,0,4363.2,218.16,21.241226300529593,55679.94,43220.26,43631.99,142532.19,68.36
C002,15,Steel,Large,3899,113908.5,22,5,3,66767.44,1001.51,0.927,12.34,MSEDCL,9287.23,108.95,6788.12,431.67,6.527,284.54,0,1949.5,3.18,7582.5,3033.0,1516.5,1516.5,0,4143.0,207.15,20.55232801453987,62224.42,47994.52,41430.47,151649.41,38.89
C002,16,Steel,Large,2695,107790.4,10,5,3,79842.76,1197.64,0.95,20.75,Tata Power,7623.11,163.56,5571.8,251.14,5.3575,120.54,0,1347.5,10.25,8435.6,3374.2,1687.1,1687.1,0,6575.2,328.76,23.771636592676977,51074.81,51884.88,65751.93,168711.62,62.6
C002,17,Steel,Large,282,5850.6,14,6,2,101763.4,1526.45,0.918,22.71,Adani Electricity,8475.07,174.71,6194.5,223.11,5.9563,408.19,0,141.0,48.4,8315.1,3326.0,1663.0,1663.0,0,4502.3,225.12,21.3261233504847,56782.94,64495.43,45023.23,166301.59,589.72
C002,18,Steel,Large,3934,139949.9,18,7,3,85042.91,1275.64,0.868,12.62,BESCOM,10924.23,197.07,7984.62,343.24,7.6775,318.32,0,1967.0,27.74,8755.2,3502.1,1751.0,1751.0,0,4097.5,204.88,21.365031365769955,73192.34,60937.34,40975.31,175104.99,44.51
C002,19,Steel,Large,1524,47158.8,24,5,1,87473.03,1312.1,0.869,27.31,BESCOM,9233.62,176.31,6748.94,407.57,6.4894,33.12,0,762.0,2.29,7554.0,3021.6,1510.8,1510.8,0,3707.8,185.39,29.31208526633137,61865.26,52136.03,37077.78,151079.07,99.13
C002,20,Steel,Large,2709,76948.5,23,7,3,73126.72,1096.9,0.868,10.25,BESCOM,7670.6,77.01,5606.51,378.6,5.3909,205.83,0,1354.5,43.72,7517.4,3007.0,1503.5,1503.5,0,4513.6,225.68,27.72854082296316,51393.02,53819.47,45135.92,150348.41,55.5
C003,1,Steel,SME,531,5985.5,13,5,1,24930.56,373.96,0.91,10.35,Adani Electricity,2467.58,184.13,1803.58,151.5,1.7342,165.05,0,265.5,16.08,2397.7,959.1,479.5,479.5,0,1309.4,65.47,21.38435879343119,16532.8,18326.69,13093.66,47953.16,90.31
C003,2,Steel,SME,575,5809.7,11,5,1,20782.21,311.73,0.928,4.71,BESCOM,3019.98,81.4,2207.33,248.19,2.1224,242.26,0,287.5,30.91,2312.1,924.9,462.4,462.4,0,977.0,48.85,25.533704593546588,20233.85,16238.88,9770.05,46242.78,80.42
C003,3,Steel,SME,1074,49198.1,21,7,3,18715.79,280.74,0.854,7.57,Adani Electricity,3133.79,117.11,2290.52,313.05,2.2024,121.24,0,537.0,13.46,2335.6,934.2,467.1,467.1,0,1153.0,57.65,25.65926244656934,20996.41,14184.71,11530.07,46711.2,43.49
C003,4,Steel,SME,192,8759.2,11,6,3,22224.61,333.37,0.934,9.82,Adani Electricity,2783.27,63.04,2034.32,314.84,1.9561,293.42,0,96.0,37.27,2558.6,1023.4,511.7,511.7,0,1609.1,80.45,26.47489319344519,18647.94,16433.67,16090.54,51172.14,266.52
C003,5,Steel,SME,862,20898.2,20,6,1,25161.78,377.43,0.971,19.38,Tata Power,2633.72,65.27,1925.01,161.14,1.851,122.98,0,431.0,8.03,2473.1,989.2,494.6,494.6,0,1518.2,75.91,22.798505360769585,17645.91,16634.56,15181.77,49462.25,57.38
C003,6,Steel,SME,793,20947.8,11,7,2,23773.34,356.6,0.902,2.41,BESCOM,2438.75,187.61,1782.5,102.12,1.7139,487.53,0,396.5,24.54,2441.1,976.4,488.2,488.2,0,1345.8,67.29,30.843441449326633,16339.6,19024.92,13457.81,48822.33,61.57
C003,7,Steel,SME,1260,22935.9,11,7,1,21438.43,321.58,0.946,14.3,BESCOM,2822.33,67.23,2062.86,344.25,1.9835,144.32,0,630.0,29.06,2130.9,852.4,426.2,426.2,0,864.3,43.22,22.315440729113035,18909.58,15065.89,8643.29,42618.77,33.82
C003,8,Steel,SME,214,2682.5,19,6,1,17864.6,267.97,0.939,10.1,BESCOM,2618.31,88.2,1913.75,372.6,1.8401,380.11,0,107.0,29.78,2157.7,863.1,431.5,431.5,0,1244.1,62.21,27.073642828252375,17542.69,13169.7,12441.16,43153.55,201.65
C003,9,Steel,SME,1448,21679.3,18,5,2,27640.45,414.61,0.874,24.92,MSEDCL,2390.08,188.97,1746.93,388.64,1.6797,24.05,0,724.0,39.08,2165.3,866.1,433.1,433.1,0,1027.5,51.38,32.41911330766238,16013.52,17017.33,10275.43,43306.29,29.91
C003,10,Steel,SME,365,12902.9,11,5,1,23595.71,353.94,0.926,5.59,Adani Electricity,3277.96,172.49,2395.89,275.65,2.3037,188.47,0,182.5,23.13,2387.7,955.1,477.5,477.5,0,752.5,37.63,24.520668112462133,21962.35,18266.48,7525.02,47753.86,130.83
C003,11,Steel,SME,585,18569.1,15,7,3,28347.2,425.21,0.865,26.99,Adani Electricity,3139.05,99.92,2294.36,392.22,2.2061,346.86,0,292.5,8.34,2625.4,1050.2,525.1,525.1,0,1450.4,72.52,33.17943673060157,21031.64,16971.6,14504.44,52507.69,89.76
C003,12,Steel,SME,1132,43332.1,8,6,2,33124.13,496.86,0.943,29.93,Tata Power,3563.86,181.51,2604.86,236.83,2.5047,410.63,0,566.0,5.53,2663.2,1065.3,532.6,532.6,0,1035.4,51.77,32.696784376017774,23877.86,19032.05,10354.15,53264.07,47.05
C003,13,Steel,SME,355,13806.0,9,7,3,24964.05,374.46,0.928,4.5,BESCOM,2915.8,131.41,2131.18,200.72,2.0492,172.85,0,177.5,9.08,2574.2,1029.7,514.8,514.8,0,1239.8,61.99,33.62675842000442,19535.85,19549.86,12397.93,51483.64,145.02
C003,14,Steel,SME,242,8094.7,8,7,3,29666.96,445.0,0.971,28.42,BESCOM,2854.06,187.81,2086.06,416.03,2.0058,11.51,0,121.0,32.57,2515.0,1006.0,503.0,503.0,0,1376.3,68.82,31.56870002779607,19122.21,17413.57,13763.29,50299.07,207.85
C003,15,Steel,SME,1263,58637.9,8,6,1,19460.0,291.9,0.978,3.13,Adani Electricity,2352.56,77.95,1719.51,435.0,1.6534,166.07,0,631.5,15.57,2511.6,1004.7,502.3,502.3,0,1901.2,95.06,23.410934313156687,15762.17,15458.15,19012.18,50232.5,39.77
C003,16,Steel,SME,1184,40432.3,10,7,1,28927.19,433.91,0.962,6.17,Adani Electricity,3334.74,101.95,2437.39,238.78,2.3436,368.75,0,592.0,22.61,2972.2,1188.9,594.4,594.4,0,1484.4,74.22,23.369072344099727,22342.75,22257.37,14844.03,59444.15,50.21
C003,17,Steel,SME,637,29680.3,24,5,3,27313.17,409.7,0.886,14.95,Adani Electricity,2937.29,51.96,2146.9,365.41,2.0643,89.02,0,318.5,48.05,2998.4,1199.4,599.7,599.7,0,2124.0,106.2,22.229940916296695,19679.87,19048.25,21240.16,59968.28,94.14
C003,18,Steel,SME,899,11402.1,24,5,1,34549.11,518.24,0.911,15.07,BESCOM,2849.0,138.12,2082.36,217.62,2.0023,357.03,0,449.5,26.38,3010.1,1204.0,602.0,602.0,0,1705.2,85.26,28.016838368858703,19088.31,24062.07,17051.84,60202.22,66.97
C003,19,Steel,SME,511,6653.3,10,6,2,23860.1,357.9,0.967,3.09,Adani Electricity,3001.84,111.31,2194.07,110.15,2.1097,78.08,0,255.5,35.8,2517.8,1007.1,503.6,503.6,0,1128.3,56.41,29.88385912865227,20112.3,18960.82,11282.86,50355.98,98.54
C003,20,Steel,SME,44,623.2,22,5,3,23696.11,355.44,0.965,20.16,BESCOM,2468.1,85.73,1803.96,139.78,1.7346,121.59,0,22.0,36.11,2400.8,960.3,480.2,480.2,0,1596.5,79.83,32.835447021594284,16536.29,15514.19,15965.08,48015.56,1091.26
C004,1,Steel,Mid,992,13369.2,17,7,1,53735.0,806.03,0.877,12.19,MSEDCL,8987.86,68.42,6569.31,450.58,6.3166,321.46,0,496.0,35.2,6158.8,2463.5,1231.8,1231.8,0,2426.7,121.33,33.65936005310456,60218.66,38690.68,24266.94,123176.29,124.17
C004,2,Steel,Mid,131,5662.6,12,6,2,63328.72,949.93,0.897,10.89,Tata Power,6629.56,94.17,4845.61,479.38,4.6592,381.8,0,65.5,7.01,6048.7,2419.5,1209.7,1209.7,0,3028.2,151.41,33.027019638468694,44418.07,46273.5,30281.51,120973.07,923.46
C004,3,Steel,Mid,96,1991.7,15,6,1,65114.05,976.71,0.902,12.76,Tata Power,8762.63,70.9,6404.69,433.97,6.1584,492.2,0,48.0,26.28,6129.5,2451.8,1225.9,1225.9,0,1729.8,86.49,22.57518928772455,58709.63,46582.43,17297.94,122590.0,1276.98
C004,4,Steel,Mid,1742,36516.2,24,5,1,68742.4,1031.14,0.915,3.53,BESCOM,6296.57,80.96,4602.22,104.4,4.4252,68.44,0,871.0,45.0,6946.0,2778.4,1389.2,1389.2,0,4235.6,211.78,33.10835116343773,42187.03,54377.52,42355.66,138920.21,79.75
C004,5,Steel,Mid,2745,73431.0,21,6,2,67352.35,1010.29,0.946,5.26,MSEDCL,8951.54,63.55,6542.76,408.39,6.2911,34.12,0,1372.5,41.85,7138.2,2855.3,1427.6,1427.6,0,3046.5,152.32,26.557900945358654,59975.33,52323.26,30464.67,142763.26,52.01
C004,6,Steel,Mid,1208,58181.5,12,5,2,93953.0,1409.3,0.854,28.48,BESCOM,10120.66,74.3,7397.28,436.61,7.1128,423.2,0,604.0,47.76,7630.8,3052.3,1526.2,1526.2,0,2970.7,148.54,22.320082113248542,67808.43,55100.67,29707.22,152616.32,126.34
C004,7,Steel,Mid,1255,47937.3,15,6,1,59265.63,888.98,0.882,10.55,MSEDCL,7660.44,61.66,5599.09,100.94,5.3837,483.85,0,627.5,0.26,6499.3,2599.7,1299.9,1299.9,0,3518.9,175.95,21.546406190206174,51324.98,43472.59,35189.28,129986.85,103.58
C004,8,Steel,Mid,2080,64172.2,19,6,3,81567.54,1223.51,0.945,23.7,Tata Power,8871.8,163.86,6484.48,389.64,6.2351,318.62,0,1040.0,49.03,6440.2,2576.1,1288.0,1288.0,0,1832.9,91.65,33.550457189540374,59441.09,51033.28,18329.28,128803.65,61.92
C004,9,Steel,Mid,161,5398.4,24,7,2,62033.96,930.51,0.924,20.1,Adani Electricity,8719.77,96.93,6373.36,148.21,6.1282,365.51,0,80.5,9.63,6659.6,2663.8,1331.9,1331.9,0,3412.4,170.62,21.729230318709266,58422.47,40644.67,34124.39,133191.53,827.28
C004,10,Steel,Mid,1381,42669.3,14,5,2,65418.53,981.28,0.928,1.65,MSEDCL,9652.68,134.1,7055.23,292.42,6.7839,442.5,0,690.5,26.51,7043.9,2817.6,1408.8,1408.8,0,2344.6,117.23,26.615482426222425,64672.94,52759.97,23445.76,140878.66,102.01
C004,11,Steel,Mid,1995,78830.9,8,5,2,82051.49,1230.77,0.964,16.15,Adani Electricity,9174.65,53.66,6705.83,448.04,6.4479,10.63,0,997.5,43.74,7415.2,2966.1,1483.0,1483.0,0,3042.0,152.1,27.934057010408182,61470.15,56414.77,30419.78,148304.7,74.34
C004,12,Steel,Mid,2308,60186.3,19,5,3,86633.13,1299.5,0.902,10.52,Adani Electricity,10910.25,112.67,7974.4,268.54,7.6677,368.79,0,1154.0,11.94,7949.7,3179.9,1589.9,1589.9,0,2233.1,111.65,21.65711169697092,73098.7,63564.88,22330.74,158994.32,68.89
C004,13,Steel,Mid,155,1660.8,21,7,1,68462.76,1026.94,0.864,7.01,Tata Power,8449.34,151.95,6175.7,187.3,5.9382,474.98,0,77.5,39.32,7918.7,3167.5,1583.7,1583.7,0,4955.9,247.79,21.341165034683893,56610.57,52205.08,49558.73,158374.38,1021.77
C004,14,Steel,Mid,1851,30877.2,11,7,1,84755.79,1271.34,0.934,14.02,Tata Power,10757.81,174.6,7862.98,148.14,7.5606,23.47,0,925.5,19.2,7574.0,3029.6,1514.8,1514.8,0,1964.7,98.24,20.550979061399204,72077.36,59754.46,19647.32,151479.14,81.84
C004,15,Steel,Mid,672,20650.8,24,5,3,93011.84,1395.18,0.902,18.89,Adani Electricity,11301.61,123.68,8260.45,498.53,7.9427,448.72,0,336.0,23.17,8137.8,3255.1,1627.6,1627.6,0,2517.5,125.88,29.34406074402678,75720.8,61859.82,25175.41,162756.02,242.2
C004,16,Steel,Mid,1388,35597.7,16,7,1,125480.84,1882.21,0.961,25.8,Adani Electricity,8980.48,171.43,6563.92,362.1,6.3115,275.43,0,694.0,4.35,9800.4,3920.2,1960.1,1960.1,0,5949.5,297.48,26.12679819606048,60169.23,76343.65,59495.31,196008.19,141.22
C004,17,Steel,Mid,270,5078.0,20,5,1,104394.56,1565.92,0.961,14.88,BESCOM,10280.34,182.44,7513.99,306.43,7.225,453.26,0,135.0,28.57,9785.2,3914.1,1957.0,1957.0,0,5395.7,269.79,29.93168015159847,68878.27,72868.92,53957.08,195704.28,724.83
C004,18,Steel,Mid,2608,51668.2,23,5,1,107819.39,1617.29,0.959,15.64,Tata Power,14098.99,189.51,10305.08,142.33,9.9087,349.5,0,1304.0,9.46,9987.7,3995.1,1997.5,1997.5,0,3070.4,153.52,33.224556991555254,94463.21,74586.21,30704.22,199753.65,76.59
C004,19,Steel,Mid,2465,47192.4,14,7,2,84043.09,1260.65,0.956,0.15,Adani Electricity,10407.32,163.5,7606.8,203.48,7.3142,96.57,0,1232.5,4.2,8869.3,3547.7,1773.9,1773.9,0,3884.7,194.24,24.896503647549395,69729.03,68808.96,38847.14,177385.14,71.96
C004,20,Steel,Mid,2461,37254.5,14,6,1,74913.66,1123.7,0.975,0.27,MSEDCL,8750.92,108.82,6396.13,171.8,6.1501,376.85,0,1230.5,39.44,9071.3,3628.5,1814.3,1814.3,0,6153.3,307.66,22.606302129613503,58631.19,61262.01,61532.72,181425.93,73.72
C005,1,Steel,Large,2931,69861.3,21,7,1,42714.51,640.72,0.908,2.02,MSEDCL,4975.36,69.51,3636.54,403.31,3.4967,12.29,0,1465.5,1.11,4627.4,1850.9,925.5,925.5,0,2489.4,124.47,24.85415328724312,33334.92,34318.19,24894.35,92547.47,31.58
C005,2,Steel,Large,1404,70038.5,24,7,1,46323.25,694.85,0.961,13.38,MSEDCL,6054.36,169.22,4425.19,377.47,4.255,110.38,0,702.0,4.12,4466.6,1786.6,893.3,893.3,0,1586.4,79.32,30.207489531120697,40564.2,32903.77,15864.45,89332.42,63.63
C005,3,Steel,Large,2190,104560.8,23,5,3,46666.47,700.0,0.975,4.53,MSEDCL,4894.56,91.13,3577.47,493.59,3.4399,204.67,0,1095.0,44.7,4623.3,1849.3,924.7,924.7,0,2314.1,115.7,23.449319088366295,32793.52,36532.36,23140.9,92466.78,42.22
C005,4,Steel,Large,4328,125202.1,15,6,1,52053.56,780.8,0.963,11.06,Tata Power,4751.81,73.05,3473.14,281.48,3.3396,265.18,0,2164.0,0.89,5198.3,2079.3,1039.7,1039.7,0,3416.4,170.82,31.95196741796041,31837.14,37964.87,34163.86,103965.87,24.02
C005,5,Steel,Large,2337,23485.2,14,5,2,52640.46,789.61,0.939,5.56,BESCOM,7397.02,133.76,5406.55,190.22,5.1986,80.41,0,1168.5,32.58,5137.2,2054.9,1027.4,1027.4,0,1242.0,62.1,24.88888195928112,49560.06,40763.57,12419.8,102743.43,43.96
C005,6,Steel,Large,2349,87425.7,21,7,3,53665.52,804.98,0.944,4.49,MSEDCL,6087.72,154.25,4449.57,444.05,4.2784,389.93,0,1174.5,1.98,5274.5,2109.8,1054.9,1054.9,0,2267.1,113.36,27.207604208867433,40787.72,42031.0,22671.48,105490.2,44.91
C005,7,Steel,Large,2519,87475.4,8,6,2,42650.37,639.76,0.892,4.27,Adani Electricity,4366.84,130.14,3191.77,453.01,3.069,41.25,0,1259.5,41.23,4198.8,1679.5,839.8,839.8,0,2124.0,106.2,25.36702026392407,29257.86,33478.24,21239.51,83975.6,33.34
C005,8,Steel,Large,4116,47940.5,19,5,3,41050.03,615.75,0.866,20.8,MSEDCL,6159.87,54.74,4502.31,474.48,4.3291,25.99,0,2058.0,27.06,4164.7,1665.9,832.9,832.9,0,1536.1,76.8,30.635907791763746,41271.16,26660.94,15360.98,83293.07,20.24
C005,9,Steel,Large,4083,53914.4,23,6,2,45713.62,685.7,0.952,10.18,MSEDCL,5853.08,146.54,4278.07,310.56,4.1135,365.79,0,2041.5,4.08,4428.0,1771.2,885.6,885.6,0,1567.6,78.38,20.905281259858455,39215.62,33667.86,15675.88,88559.36,21.69
