company_id,month_index,industry,company_size,employee_total,facility_area_sqm,operating_hours_per_day,operating_days_per_week,number_of_shifts,monthly_electricity_kwh,peak_demand_kw,power_factor,renewable_energy_percent,electricity_provider,diesel_liters_monthly,petrol_liters_monthly,natural_gas_kg_monthly,lpg_kg_monthly,coal_tons_monthly,furnace_oil_liters_monthly,biomass_tons_monthly,water_consumption_kl_monthly,water_recycling_percent,metal_scrap_kg_monthly,plastic_waste_kg_monthly,organic_waste_kg_monthly,paper_waste_kg_monthly,wood_waste_kg_monthly,production_volume_monthly,raw_material_consumption_tons,avg_temperature,scope1_kg,scope2_kg,scope3_kg,total_co2_kg,emission_intensity,suggest_night_shift,suggest_solar_ppa,suggest_power_factor_correction,suggest_led_lighting,suggest_waste_heat_recovery,suggest_biogas_plant,suggest_water_recycling,suggest_switch_to_png,suggest_renewable_procurement,suggest_process_optimization
C116,5,Chemical,Startup,265,5781.3,22,5,2,9022.93,135.34,0.948,22.84,Adani Electricity,875.63,64.56,640.01,478.97,0.6154,208.04,0,132.5,17.13,885.0,354.0,177.0,177.0,0,612.4,30.62,26.70083186261007,5866.72,5708.79,6123.96,17699.46,66.79,0,0,0,0,0,0,1,1,0,1
C113,15,Chemical,SME,1349,28555.0,24,6,3,19042.76,285.64,0.899,25.33,BESCOM,1752.88,190.96,1281.2,349.81,1.2319,281.33,0,674.5,26.84,1758.7,703.5,351.7,351.7,0,1176.9,58.85,25.260554747165024,11744.31,11660.49,11769.22,35174.03,26.07,0,0,1,0,0,1,0,1,0,0
C154,20,Automotive,SME,1351,42035.5,16,6,3,10557.68,158.37,0.917,21.05,Tata Power,1335.01,86.26,975.77,260.62,0.9382,447.52,0,675.5,36.18,1051.5,420.6,210.3,210.3,0,525.1,26.25,24.801287784080124,8944.6,6834.97,5250.76,21030.32,15.57,0,0,1,1,0,1,0,1,0,0
C017,15,Steel,SME,107,2728.4,15,5,3,15798.92,236.98,0.896,0.6,BESCOM,2504.11,122.04,1830.27,364.68,1.7599,109.56,0,53.5,5.64,1868.5,747.4,373.7,373.7,0,771.4,38.57,28.9465093193849,16777.51,12877.29,7714.5,37369.29,349.25,0,1,1,0,1,0,0,1,1,0
C234,10,Textile,Mid,237,6241.9,22,6,3,9662.22,144.93,0.976,26.41,MSEDCL,1258.18,191.42,919.62,429.19,0.8842,360.55,0,118.5,42.6,902.4,361.0,180.5,180.5,0,378.8,18.94,28.058948869538106,8429.82,5830.64,3787.54,18047.99,76.15,1,0,0,0,0,0,0,1,0,1
C052,13,Energy,Large,2890,82770.0,19,5,2,158592.48,2378.89,0.86,24.97,MSEDCL,17002.9,85.08,12427.57,131.97,11.9496,0.28,0,1445.0,30.42,13297.6,5319.0,2659.5,2659.5,0,5445.5,272.28,25.432231752203553,113919.42,97576.14,54455.44,265951.0,92.02,1,0,1,1,1,1,0,1,0,1
C193,15,Manufacturing,Enterprise,10335,413698.2,16,7,2,52197.66,782.96,0.872,3.78,BESCOM,7242.09,94.17,5293.31,411.17,5.0897,48.32,0,5167.5,22.57,6548.4,2619.4,1309.7,1309.7,0,4126.2,206.31,28.870805654448603,48522.01,41183.96,41261.69,130967.66,12.67,0,1,1,1,0,1,0,1,0,0
C150,14,Automotive,Startup,392,17512.6,21,7,2,7257.34,108.86,0.918,16.31,Adani Electricity,1083.95,123.98,792.27,276.43,0.7618,389.22,0,196.0,20.67,774.0,309.6,154.8,154.8,0,323.8,16.19,24.782571122499995,7262.5,4980.46,3237.68,15480.63,39.49,0,0,1,0,1,0,0,0,0,0
C155,12,Automotive,Startup,115,3788.5,24,6,1,5199.17,77.99,0.951,9.7,MSEDCL,584.72,101.12,427.38,176.4,0.4109,346.48,0,57.5,28.16,641.2,256.5,128.2,128.2,0,505.6,25.28,22.32428160381527,3917.65,3849.77,5056.37,12823.79,111.51,0,1,0,0,0,0,0,1,0,1
C170,11,Manufacturing,Large,1154,15990.7,11,6,3,29227.34,438.41,0.852,0.72,BESCOM,4261.26,182.27,3114.59,281.3,2.9948,262.74,0,577.0,21.2,3546.8,1418.7,709.4,709.4,0,1859.2,92.96,31.10100529755568,28550.44,23793.47,18591.6,70935.51,61.47,0,1,1,1,0,1,0,1,1,1
C289,18,Pharmaceutical,Large,375,9454.3,10,6,3,9475.3,142.13,0.854,6.1,Tata Power,827.03,69.6,604.48,306.13,0.5812,162.06,0,187.5,12.83,919.4,367.7,183.9,183.9,0,555.0,27.75,28.65252482137688,5541.07,7295.84,5550.47,18387.38,49.03,0,1,1,0,0,0,1,1,0,0
C115,20,Chemical,Mid,2814,95026.8,14,7,2,28086.51,421.3,0.898,16.95,Adani Electricity,2312.56,72.4,1690.27,418.75,1.6253,393.1,0,1407.0,10.57,2577.1,1030.9,515.4,515.4,0,1692.1,84.61,31.471169812023692,15494.12,19127.51,16921.18,51542.81,18.32,0,0,1,1,0,1,1,1,1,0
C006,10,Steel,Enterprise,12427,453257.0,24,7,2,259670.16,3895.05,0.908,20.08,BESCOM,27802.91,59.02,20321.4,324.92,19.5398,478.81,0,6213.5,8.77,25527.1,10210.8,5105.4,5105.4,0,15409.8,770.49,30.350073362309985,186279.5,170163.47,154098.2,510541.17,41.08,1,0,1,1,1,1,1,1,1,0
C027,9,Steel,Large,2953,103280.9,14,5,3,71478.03,1072.17,0.924,10.88,BESCOM,8930.01,192.99,6527.02,316.39,6.276,357.63,0,1476.5,27.84,7549.9,3020.0,1510.0,1510.0,0,3892.9,194.65,32.82110927887968,59831.05,52237.76,38929.1,150997.91,51.13,0,0,0,1,1,1,0,1,1,1
C029,12,Steel,SME,959,37619.0,20,5,3,31921.55,478.82,0.934,26.89,MSEDCL,3035.1,176.51,2218.38,181.51,2.1331,371.45,0,479.5,34.28,2918.4,1167.4,583.7,583.7,0,1889.7,94.49,31.3833327521067,20335.16,19135.94,18897.49,58368.59,60.86,0,0,0,1,1,1,0,1,1,1
C329,3,Electronics,Mid,485,5574.6,8,7,2,1823.42,27.35,0.951,18.86,Tata Power,199.94,173.18,146.14,332.71,0.1405,236.24,0,242.5,23.02,177.6,71.0,35.5,35.5,0,99.8,4.99,30.06416369835716,1339.63,1213.23,998.49,3551.34,7.32,0,0,0,0,0,0,0,0,0,0
C374,16,Construction,Large,992,27424.0,10,5,1,20628.96,309.43,0.852,13.98,MSEDCL,3080.31,53.57,2251.43,491.9,2.1648,460.15,0,496.0,15.29,2134.6,853.8,426.9,426.9,0,750.2,37.51,34.33998035626152,20638.1,14551.4,7501.69,42691.19,43.04,0,0,1,1,0,1,1,1,1,0
C185,13,Manufacturing,Large,2511,25492.3,23,5,2,42672.56,640.09,0.926,21.94,BESCOM,3367.89,168.25,2461.62,355.24,2.3669,360.37,0,1255.5,45.94,3730.5,1492.2,746.1,746.1,0,2472.9,123.65,26.252350324988438,22564.85,27315.64,24729.44,74609.94,29.71,0,0,0,1,0,1,0,1,0,0
C235,13,Textile,Enterprise,3011,117791.6,24,5,1,22099.21,331.49,0.867,15.82,BESCOM,3503.67,138.85,2560.86,491.6,2.4624,277.61,0,1505.5,1.36,2477.2,990.9,495.4,495.4,0,1081.6,54.08,26.957811739226923,23474.57,15253.89,10816.24,49544.7,16.45,0,0,1,0,0,1,1,1,0,0
C024,4,Steel,Startup,454,21933.0,17,5,3,8150.68,122.26,0.943,2.16,Tata Power,1294.38,76.95,946.08,331.23,0.9097,478.99,0,227.0,25.15,899.8,359.9,180.0,180.0,0,278.4,13.92,21.24371872091722,8672.36,6539.38,2783.8,17995.53,39.64,0,1,0,0,0,0,0,1,0,0
C249,3,Food_Processing,Mid,2268,26681.4,13,6,1,10776.04,161.64,0.927,22.47,MSEDCL,1380.57,177.3,1009.07,464.66,0.9703,165.87,0,1134.0,16.43,981.3,392.5,196.3,196.3,0,352.5,17.63,21.96419833773779,9249.84,6850.44,3525.02,19625.3,8.65,0,0,0,0,0,0,1,1,0,0
C219,20,Textile,Mid,2578,26387.2,14,6,1,6942.89,104.14,0.866,8.43,Adani Electricity,985.52,96.87,720.32,300.02,0.6926,222.68,0,1289.0,27.9,838.9,335.6,167.8,167.8,0,496.2,24.81,26.02476778027116,6602.98,5213.11,4961.83,16777.92,6.51,0,1,1,0,0,0,1,1,0,0
C164,2,Manufacturing,Enterprise,11518,287115.1,24,6,2,86409.45,1296.14,0.857,1.87,BESCOM,13798.49,74.35,10085.44,469.69,9.6975,213.92,0,5759.0,33.43,10021.7,4008.7,2004.3,2004.3,0,3845.5,192.28,32.75287731903082,92449.89,69528.03,38455.19,200433.11,17.4,1,1,1,1,0,1,0,1,1,0
C095,18,Chemical,Mid,2750,39914.7,20,7,2,74731.71,1120.98,0.904,25.49,Adani Electricity,7784.95,81.29,5690.09,443.74,5.4712,60.99,0,1375.0,7.8,6429.2,2571.7,1285.8,1285.8,0,3076.4,153.82,28.16004985633281,52159.18,45659.65,30764.49,128583.31,46.76,1,0,0,1,1,1,1,1,0,0
C294,20,Pharmaceutical,Startup,292,14580.5,24,7,3,797.07,11.96,0.876,16.14,MSEDCL,64.47,118.39,47.12,133.29,0.0453,472.54,0,146.0,22.35,71.8,28.7,14.4,14.4,0,45.6,2.28,21.20509182927487,431.93,548.1,455.56,1435.59,4.92,0,0,1,0,0,0,0,0,0,0
C240,4,Textile,Enterprise,4086,72346.2,8,7,2,58507.03,877.61,0.941,0.35,BESCOM,8719.89,61.11,6373.45,476.2,6.1283,129.92,0,2043.0,28.23,5983.9,2393.6,1196.8,1196.8,0,1344.5,67.22,25.589303766180386,58423.3,47809.79,13444.7,119677.78,29.29,0,1,0,1,0,1,0,1,1,0
C034,15,Steel,SME,466,10937.8,17,7,3,16627.35,249.41,0.974,5.33,MSEDCL,2395.15,162.51,1750.63,437.18,1.6833,235.05,0,233.0,19.49,1792.9,717.2,358.6,358.6,0,690.3,34.52,25.890627982163252,16047.48,12908.1,6903.06,35858.63,76.95,0,1,0,0,0,0,1,1,1,1
C164,12,Manufacturing,Enterprise,3424,150804.6,17,7,1,161379.65,2420.69,0.957,28.71,Tata Power,12940.48,156.7,9458.32,188.44,9.0945,374.45,0,1712.0,15.66,12447.6,4979.0,2489.5,2489.5,0,6791.1,339.55,33.88742931967064,86701.25,94339.05,67910.86,248951.15,72.71,0,0,0,1,0,1,1,1,0,1
C226,4,Textile,Mid,246,11954.5,15,5,2,11015.55,165.23,0.956,5.14,Tata Power,1164.26,180.88,850.97,285.9,0.8182,111.85,0,123.0,6.49,1220.0,488.0,244.0,244.0,0,803.1,40.15,22.112335571376555,7800.53,8568.88,8030.84,24400.25,99.19,0,1,0,0,0,1,1,1,0,1
C075,18,Energy,Large,4071,177035.7,21,6,1,233923.74,3508.86,0.877,28.88,MSEDCL,29441.59,165.2,21519.12,132.61,20.6915,116.28,0,2035.5,48.11,20562.2,8224.9,4112.4,4112.4,0,7755.8,387.79,27.510156122082144,197258.64,136425.98,77558.4,411243.02,101.02,1,1,1,1,1,1,0,1,0,1
C377,10,Construction,Enterprise,5082,55643.4,23,7,2,30470.13,457.05,0.954,10.32,Tata Power,5153.31,79.89,3766.6,212.96,3.6217,488.09,0,2541.0,2.99,3505.8,1402.3,701.2,701.2,0,1318.1,65.91,26.810631609406077,34527.14,22408.22,13181.27,70116.64,13.8,0,0,0,1,0,1,1,1,1,0
C049,9,Energy,Enterprise,580,14566.9,21,5,2,499046.92,7485.7,0.898,21.42,MSEDCL,53439.14,198.04,39059.15,454.77,37.5569,205.42,0,290.0,18.58,40865.4,16346.1,8173.1,8173.1,0,13769.4,688.47,24.452780514199777,358042.25,321570.99,137693.91,817307.15,1409.15,1,0,1,1,1,1,1,1,0,1
C327,2,Electronics,Large,4950,243008.9,13,7,1,3741.26,56.12,0.905,23.25,Adani Electricity,414.63,139.37,303.05,405.24,0.2914,312.67,0,2475.0,42.14,329.5,131.8,65.9,65.9,0,145.8,7.29,23.43412282187729,2778.0,2354.53,1458.39,6590.92,1.33,0,0,1,0,0,1,0,0,0,0
C272,16,Food_Processing,SME,1267,56410.1,16,6,2,2972.3,44.58,0.932,1.97,MSEDCL,394.97,117.46,288.69,333.55,0.2776,93.17,0,633.5,5.31,365.8,146.3,73.2,73.2,0,228.0,11.4,25.276422381623465,2646.31,2389.15,2280.42,7315.88,5.77,0,1,0,0,0,0,1,0,0,0
C205,4,Textile,Enterprise,8904,313557.8,14,5,1,75203.24,1128.05,0.911,29.52,Tata Power,8641.77,103.8,6316.35,162.44,6.0734,183.57,0,4452.0,30.46,7125.9,2850.4,1425.2,1425.2,0,4115.3,205.76,27.310255676277038,57899.86,43464.93,41152.74,142517.54,16.01,0,0,1,1,0,1,0,1,0,0
C353,4,Electronics,Enterprise,12054,483045.3,10,6,3,30026.69,450.4,0.947,17.39,Adani Electricity,2769.13,151.88,2023.98,120.26,1.9461,195.95,0,6027.0,5.74,2860.6,1144.2,572.1,572.1,0,1831.8,91.59,33.680370957491284,18553.17,20340.97,18318.02,57212.16,4.75,0,0,0,1,0,1,1,1,0,0
C315,3,Pharmaceutical,Large,2493,114373.5,11,7,1,13777.36,206.66,0.956,27.25,MSEDCL,1585.76,97.61,1159.04,297.22,1.1145,69.1,0,1246.5,33.33,1146.3,458.5,229.3,229.3,0,408.3,20.42,30.115897060103364,10624.57,8218.46,4083.39,22926.42,9.2,0,0,0,0,0,1,0,1,0,0
C373,16,Construction,Enterprise,7379,181798.8,23,5,1,64248.2,963.72,0.938,23.66,Adani Electricity,6981.41,165.53,5102.77,401.15,4.9065,471.0,0,3689.5,0.9,5469.3,2187.7,1093.9,1093.9,0,2239.2,111.96,22.649346590424727,46775.42,40218.73,22392.1,109386.25,14.82,1,0,0,1,1,1,1,1,0,0
C158,4,Automotive,SME,639,6823.0,14,5,3,14289.34,214.34,0.913,3.64,Adani Electricity,1949.25,92.19,1424.73,297.65,1.3699,85.19,0,319.5,5.84,1717.2,686.9,343.4,343.4,0,999.3,49.96,26.784771581758257,13059.98,11290.55,9992.71,34343.24,53.75,0,1,1,0,0,1,1,1,1,1
C140,1,Automotive,Mid,1814,68766.3,12,7,1,29296.74,439.45,0.882,23.66,MSEDCL,3628.23,132.77,2651.9,309.99,2.5499,158.09,0,907.0,11.56,2534.5,1013.8,506.9,506.9,0,804.0,40.2,21.107524461733327,24309.13,18339.81,8040.24,50689.18,27.94,0,0,1,1,0,0,1,1,0,0
C197,7,Manufacturing,Enterprise,6894,161350.0,10,7,3,80727.43,1210.91,0.923,26.45,Tata Power,7490.88,75.51,5475.15,199.92,5.2646,486.03,0,3447.0,3.25,7132.1,2852.9,1426.4,1426.4,0,4376.4,218.82,31.601679425770094,50188.86,48690.5,43763.53,142642.9,20.69,0,0,0,1,0,1,1,0,0,0
C350,3,Electronics,Startup,386,8794.1,22,6,1,391.89,5.88,0.919,28.13,BESCOM,51.69,96.12,37.78,260.62,0.0363,413.41,0,193.0,12.99,38.3,15.3,7.7,7.7,0,18.9,0.94,29.287081530465095,346.35,230.96,188.57,765.87,1.98,0,0,1,0,0,0,1,0,0,0
C054,3,Energy,SME,1050,13559.0,23,6,2,39301.38,589.52,0.906,15.04,Tata Power,5559.4,192.49,4063.42,143.68,3.9071,230.75,0,525.0,46.9,4545.5,1818.2,909.1,909.1,0,2628.0,131.4,23.490623005833072,37248.01,27381.36,26280.06,90909.43,86.58,0,0,1,1,1,1,0,1,0,1
C223,13,Textile,Mid,768,27242.1,17,7,3,8009.48,120.14,0.872,6.05,BESCOM,1163.81,165.59,850.64,456.6,0.8179,139.04,0,384.0,34.55,816.5,326.6,163.3,163.3,0,236.2,11.81,21.710188907893194,7797.5,6170.31,2362.46,16330.28,21.26,0,1,1,0,0,0,0,1,0,0
C294,6,Pharmaceutical,Startup,307,9170.1,17,7,2,473.19,7.1,0.919,3.91,MSEDCL,67.72,110.37,49.5,195.52,0.0476,274.7,0,153.5,25.58,60.9,24.4,12.2,12.2,0,39.2,1.96,34.74430307922702,453.73,372.82,391.87,1218.43,3.97,0,1,1,1,0,0,0,0,0,0
C250,9,Food_Processing,Startup,294,6484.1,17,6,1,2012.16,30.18,0.881,24.51,Adani Electricity,197.91,136.96,144.65,334.23,0.1391,315.45,0,147.0,39.04,188.2,75.3,37.6,37.6,0,119.2,5.96,34.71231874210407,1325.97,1245.48,1191.61,3763.06,12.8,0,0,1,0,0,0,0,0,0,0
C077,1,Energy,Large,2834,45230.9,22,7,2,133836.94,2007.55,0.873,4.09,Adani Electricity,16219.18,165.31,11854.75,486.22,11.3988,169.45,0,1417.0,32.41,17082.2,6832.9,3416.4,3416.4,0,12771.8,638.59,28.43334874766316,108668.52,105257.97,127718.17,341644.66,120.55,1,1,1,1,1,1,0,1,1,1
C201,17,Textile,SME,892,32691.4,12,5,1,5922.22,88.83,0.877,12.4,MSEDCL,909.56,137.7,664.81,250.47,0.6392,118.96,0,446.0,49.88,636.2,254.5,127.2,127.2,0,237.6,11.88,20.20824832297925,6094.08,4254.22,2375.65,12723.95,14.26,0,0,1,0,0,0,0,1,0,1
C073,2,Energy,Enterprise,2471,104459.1,21,6,3,179253.13,2688.8,0.904,9.9,BESCOM,29340.22,92.1,21445.04,229.29,20.6202,143.76,0,1235.5,6.44,20003.9,8001.5,4000.8,4000.8,0,7105.8,355.29,31.291724644412824,196579.5,132440.17,71057.76,400077.43,161.91,1,1,1,1,1,0,1,1,1,1
C187,17,Manufacturing,SME,84,2274.3,22,7,1,11517.03,172.76,0.912,4.78,Adani Electricity,1467.46,183.94,1072.58,363.09,1.0313,430.14,0,42.0,7.75,1378.2,551.3,275.6,275.6,0,873.9,43.7,33.59723042827931,9832.0,8992.11,8739.28,27563.39,328.14,0,1,1,0,0,1,0,1,0,1
C243,20,Food_Processing,Startup,10,369.4,12,7,3,2649.24,39.74,0.959,22.96,MSEDCL,285.72,135.11,208.83,302.53,0.2008,357.55,0,5.0,2.86,224.3,89.7,44.9,44.9,0,89.8,4.49,32.482840509823205,1914.3,1673.65,898.09,4486.04,448.6,0,0,0,0,0,0,0,0,0,1
C113,14,Chemical,SME,284,3836.5,20,7,3,13805.9,207.09,0.9,5.91,MSEDCL,2337.33,170.4,1708.37,140.38,1.6427,322.07,0,142.0,36.09,1684.6,673.8,336.9,336.9,0,737.9,36.89,30.737410054789457,15660.09,10652.32,7378.91,33691.32,118.63,0,1,1,0,0,1,0,1,1,1
C154,18,Automotive,SME,180,2621.9,24,6,1,11655.43,174.83,0.887,11.66,MSEDCL,1186.11,172.17,866.94,152.29,0.8336,97.69,0,90.0,32.07,1308.9,523.6,261.8,261.8,0,978.9,48.95,24.734699191148284,7946.96,8442.61,9789.33,26178.89,145.44,0,1,1,0,0,1,0,1,0,1
C191,14,Manufacturing,Startup,402,17766.1,11,7,2,2318.45,34.78,0.853,0.07,BESCOM,263.57,193.09,192.65,148.15,0.1852,15.84,0,201.0,43.68,242.0,96.8,48.4,48.4,0,117.5,5.88,29.67394502604812,1765.94,1899.72,1175.28,4840.95,12.04,0,1,1,0,0,0,1,0,0,0
C110,7,Chemical,Enterprise,7956,292653.6,24,5,2,86417.1,1296.26,0.878,24.62,MSEDCL,9732.34,102.73,7113.46,232.68,6.8399,11.95,0,3978.0,38.43,7519.0,3007.6,1503.8,1503.8,0,3175.4,158.77,24.954715806376274,65206.68,53419.06,31753.62,150379.37,18.9,1,0,1,1,1,1,0,1,0,0
C284,12,Pharmaceutical,SME,1465,63920.7,13,7,2,2467.81,37.02,0.958,26.28,MSEDCL,232.31,107.24,169.8,344.93,0.1633,429.07,0,732.5,13.45,195.8,78.3,39.2,39.2,0,86.7,4.33,23.769671996833626,1556.51,1491.86,866.82,3915.19,2.67,0,0,0,0,0,0,1,0,0,0
C383,13,Construction,SME,1428,70169.0,9,5,3,8183.14,122.75,0.959,19.67,Tata Power,1066.73,56.59,779.68,450.79,0.7497,50.06,0,714.0,4.31,725.7,290.3,145.1,145.1,0,197.8,9.89,29.842668891708403,7147.1,5389.96,1977.73,14514.79,10.16,0,0,0,0,0,0,1,1,0,0
